475,2946NIG,56173,01/01/2011,2011,1,"Strategic development","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,3,,,0,30,Nigeria,Plateau,"Jos North",,Jos,9.92849,8.89212,1,"Agence France Presse","Suspected Boko Haram arsonists burnt a church in a northern Nigerian city. Arsonists Saturday night who set a fire on the church that gutted a section of it before the fire was put out by residents. No one was hurt in the attack as there were no worshippers in the church at the time.",0,Saturday,2011-Saturday,no,"9.92849, 8.89212"
475,2946NIG,56173,01/01/2011,2011,1,"Strategic development","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,3,,,0,30,Nigeria,Plateau,"Jos North",,Jos,9.92849,8.89212,1,"Agence France Presse","Suspected Boko Haram arsonists burnt a church in a northern Nigerian city. Arsonists Saturday night who set a fire on the church that gutted a section of it before the fire was put out by residents. No one was hurt in the attack as there were no worshippers in the church at the time.",0,Saturday,2011-Saturday,no,"9.92849, 8.89212"
475,2947NIG,56175,03/01/2011,2011,1,"Violence against civilians","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,3,"Civilians (Nigeria)","Police Forces of Nigeria (2010-2015)",7,37,Nigeria,Borno,Maiduguri,,Maiduguri,11.84644,13.16027,1,"Agence France Presse","Suspected members of a radical Islamist sect blamed for a spate of recent attacks in northern Nigeria shot dead an off-duty policeman in Maiduguri. The victim was wearing civilian clothes and was about to enter his home when the attack took place.",1,Monday,2011-Monday,no,"11.84644, 13.16027"
475,2947NIG,56175,03/01/2011,2011,1,"Violence against civilians","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,3,"Civilians (Nigeria)","Police Forces of Nigeria (2010-2015)",7,37,Nigeria,Borno,Maiduguri,,Maiduguri,11.84644,13.16027,1,"Agence France Presse","Suspected members of a radical Islamist sect blamed for a spate of recent attacks in northern Nigeria shot dead an off-duty policeman in Maiduguri. The victim was wearing civilian clothes and was about to enter his home when the attack took place.",1,Monday,2011-Monday,no,"11.84644, 13.16027","   1 -    5"
475,2948NIG,56174,03/01/2011,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)",,7,37,Nigeria,Borno,Maiduguri,,Maiduguri,11.84644,13.16027,1,"Agence France Presse","Gunmen killed three people at a movie theatre in a northern city in an attack police believe is politically-motivated ahead of general elections. The assailants were believed to be thugs loyal to a local politician.",3,Monday,2011-Monday,no,"11.84644, 13.16027"
475,2948NIG,56174,03/01/2011,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)",,7,37,Nigeria,Borno,Maiduguri,,Maiduguri,11.84644,13.16027,1,"Agence France Presse","Gunmen killed three people at a movie theatre in a northern city in an attack police believe is politically-motivated ahead of general elections. The assailants were believed to be thugs loyal to a local politician.",3,Monday,2011-Monday,no,"11.84644, 13.16027","   1 -    5"
475,2951NIG,56176,04/01/2011,2011,1,"Battle-No change of territory","PDP: People's Democratic Party",,3,"RPN: Republican Party of Nigeria",,3,33,Nigeria,Oyo,"Ogbomosho North",,Orogun,8.15000,4.28330,1,ChannelsTV,"Three people were killed in Orogun after a clash between supporters of two governorship candidates of the RPN and PDP.",3,Tuesday,2011-Tuesday,no,"8.15000, 4.28330"
475,2951NIG,56176,04/01/2011,2011,1,"Battle-No change of territory","PDP: People's Democratic Party",,3,"RPN: Republican Party of Nigeria",,3,33,Nigeria,Oyo,"Ogbomosho North",,Orogun,8.15000,4.28330,1,ChannelsTV,"Three people were killed in Orogun after a clash between supporters of two governorship candidates of the RPN and PDP.",3,Tuesday,2011-Tuesday,no,"8.15000, 4.28330","   1 -    5"
475,2949NIG,56177,04/01/2011,2011,1,Riots/Protests,"Rioters (Nigeria)","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawatai wal-Jihad",5,,,0,50,Nigeria,Adamawa,Gombi,,Jimeta,9.28333,12.46667,1,"BBC Monitoring Africa","A riot broke out at Jimeta Prison complex when suspected Boko Haram inmates attempted a prison break by overpowering guards. The attempted break-out was unsuccessful.",0,Tuesday,2011-Tuesday,no,"9.28333, 12.46667"
475,2949NIG,56177,04/01/2011,2011,1,Riots/Protests,"Rioters (Nigeria)","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawatai wal-Jihad",5,,,0,50,Nigeria,Adamawa,Gombi,,Jimeta,9.28333,12.46667,1,"BBC Monitoring Africa","A riot broke out at Jimeta Prison complex when suspected Boko Haram inmates attempted a prison break by overpowering guards. The attempted break-out was unsuccessful.",0,Tuesday,2011-Tuesday,no,"9.28333, 12.46667"
475,2950NIG,56178,04/01/2011,2011,1,"Strategic development","DDM: Delta Democratic Militia",,3,,,0,30,Nigeria,Delta,"Ughelli North",,Ughelli,5.48986,6.00743,1,"BBC Monitoring Africa","A little-known group calling itself the Delta Democratic Militia claimed responsibility for an arson attack which razed the INEC offices in Delta state to the ground. The group claimed the attack was a warning against electoral malpractice in the upcoming polls.",0,Tuesday,2011-Tuesday,no,"5.48986, 6.00743"
